"Station.Id","Start.Date","Stop.Date","Rain.Total","Temperature.Dry.Bulb.Mean","Temperature.Dry.Bulb.Maximum","Temperature.Dry.Bulb.Minimum","Season","GDD","CGDD"
"HAV",2004-06-30,2004-06-30,33,10.8,11.8,10,"2004-2005",3.8,3.8
"HAV",2004-07-01,2004-07-01,0,6.1,14.4,NA,"2004-2005",0,3.8
"HAV",2004-07-02,2004-07-02,0,7.5,15.1,NA,"2004-2005",0.5,4.3
"HAV",2004-07-03,2004-07-03,0.2,9.2,14.3,3.9,"2004-2005",2.2,6.5
"HAV",2004-07-04,2004-07-04,0,3.3,11.3,NA,"2004-2005",0,6.5
"HAV",2004-07-05,2004-07-05,0.2,7.5,11.8,NA,"2004-2005",0.5,7
"HAV",2004-07-06,2004-07-06,0,6.4,16.8,NA,"2004-2005",0,7
"HAV",2004-07-07,2004-07-07,0,8.9,16.7,1.5,"2004-2005",1.9,8.9
"HAV",2004-07-08,2004-07-08,0,2.7,10.7,NA,"2004-2005",0,8.9
"HAV",2004-07-09,2004-07-09,0.4,4.8,10.9,NA,"2004-2005",0,8.9
"HAV",2004-07-10,2004-07-10,1,7.8,10.9,5.3,"2004-2005",0.8,9.7
"HAV",2004-07-11,2004-07-11,0,6.4,10.6,NA,"2004-2005",0,9.7
"HAV",2004-07-12,2004-07-12,0.4,8,13.2,1.8,"2004-2005",1,10.7
"HAV",2004-07-13,2004-07-13,0.2,3.8,10.4,NA,"2004-2005",0,10.7
"HAV",2004-07-14,2004-07-14,0,8.5,11.8,NA,"2004-2005",1.5,12.2
"HAV",2004-07-15,2004-07-15,0.2,8.3,15.3,0.2,"2004-2005",1.3,13.5
"HAV",2004-07-16,2004-07-16,16.6,8.2,9.5,1.2,"2004-2005",1.2,14.7
"HAV",2004-07-17,2004-07-17,17,9.7,13.1,8.2,"2004-2005",2.7,17.4
"HAV",2004-07-18,2004-07-18,4.8,9.1,10.8,7.9,"2004-2005",2.1,19.5
"HAV",2004-07-19,2004-07-19,0,5.5,10.6,NA,"2004-2005",0,19.5
"HAV",2004-07-20,2004-07-20,0,7.1,11.3,1.7,"2004-2005",0.0999999999999996,19.6
"HAV",2004-07-21,2004-07-21,0,5,12.6,NA,"2004-2005",0,19.6
"HAV",2004-07-22,2004-07-22,12.8,7.5,11.6,3.5,"2004-2005",0.5,20.1
"HAV",2004-07-23,2004-07-23,1,5.5,9.7,2.3,"2004-2005",0,20.1
"HAV",2004-07-24,2004-07-24,0.4,7,10.7,3.2,"2004-2005",0,20.1
"HAV",2004-07-25,2004-07-25,0,6.2,12.1,NA,"2004-2005",0,20.1
"HAV",2004-07-26,2004-07-26,0,7.6,13,1,"2004-2005",0.6,20.7
"HAV",2004-07-27,2004-07-27,0,12.1,19.4,6.6,"2004-2005",5.1,25.8
"HAV",2004-07-28,2004-07-28,0,12.3,16.9,9.2,"2004-2005",5.3,31.1
"HAV",2004-07-29,2004-07-29,0,9,20.2,0.2,"2004-2005",2,33.1
"HAV",2004-07-30,2004-07-30,1.8,9.6,14.4,5.3,"2004-2005",2.6,35.7
"HAV",2004-07-31,2004-07-31,0.2,6.8,10.9,NA,"2004-2005",0,35.7
"HAV",2004-08-01,2004-08-01,0,5.7,11.9,NA,"2004-2005",0,35.7
"HAV",2004-08-02,2004-08-02,0,5.2,10.2,0.6,"2004-2005",0,35.7
"HAV",2004-08-03,2004-08-03,0,5.4,11.4,NA,"2004-2005",0,35.7
"HAV",2004-08-04,2004-08-04,3.8,8.1,11.5,2.9,"2004-2005",1.1,36.8
"HAV",2004-08-05,2004-08-05,5.2,11.2,14.5,7.9,"2004-2005",4.2,41
"HAV",2004-08-06,2004-08-06,0,9.5,17,1.5,"2004-2005",2.5,43.5
"HAV",2004-08-07,2004-08-07,0.2,9.5,16.7,2.7,"2004-2005",2.5,46
"HAV",2004-08-08,2004-08-08,0,9.3,16,3.4,"2004-2005",2.3,48.3
"HAV",2004-08-09,2004-08-09,0,7.7,16,0.2,"2004-2005",0.7,49
"HAV",2004-08-10,2004-08-10,0,11.3,16.9,5.8,"2004-2005",4.3,53.3
"HAV",2004-08-11,2004-08-11,0,12,15.4,9.1,"2004-2005",5,58.3
"HAV",2004-08-12,2004-08-12,0,13.7,18.4,9,"2004-2005",6.7,65
"HAV",2004-08-13,2004-08-13,0,14.2,19.2,10.8,"2004-2005",7.2,72.2
"HAV",2004-08-14,2004-08-14,0,14.2,17.6,11.3,"2004-2005",7.2,79.4
"HAV",2004-08-15,2004-08-15,0.4,12.4,18.2,6,"2004-2005",5.4,84.8
"HAV",2004-08-16,2004-08-16,5.2,5.1,7.9,3.6,"2004-2005",0,84.8
