"week_dat","station","Season","District","monitoring_week","ALCM_count","sum","No_traps","hrs_wet","weekly_CGDD","Total_Rainfall","Mean_mintemp","Mean_maxtemp","Mean_meantemp"
2004-09-27,"HAV","2004-05","Havelock North",1,539,539,6,138,3639.6,12.6,16.5,48.3,29.3
2004-10-04,"HAV","2004-05","Havelock North",2,764,1303,6,171,4211.7,72.6,23.8,52.15,38.25
2004-10-11,"HAV","2004-05","Havelock North",3,1580,2883,6,54,5246.1,64.8,31.9,70.35,52.7
2004-10-18,"HAV","2004-05","Havelock North",4,540,3423,6,147,5997.6,6.6,19.9,55.1,36.9
2004-10-25,"HAV","2004-05","Havelock North",5,580,4003,6,117,6915.3,6.6,25.6,57.55,41.55
2004-11-01,"HAV","2004-05","Havelock North",6,232,4235,6,114,7731,0,28.55,60.15,44.7
2004-11-08,"HAV","2004-05","Havelock North",7,3756,7991,6,141,8898.6,24.6,35,63.05,49.9
2004-11-15,"HAV","2004-05","Havelock North",8,5316,13307,6,63,10011,0,25.4,67.2,46.9
2004-11-22,"HAV","2004-05","Havelock North",9,2256,15563,6,123,11007.9,26.4,26.1,56.55,40.95
2004-11-29,"HAV","2004-05","Havelock North",10,330,15893,6,51,12179.7,101.4,35.2,69.15,50.7
2004-12-06,"HAV","2004-05","Havelock North",11,1336,17229,6,159,13043.4,19.2,16.65,61.35,39.6
2004-12-13,"HAV","2004-05","Havelock North",12,1886,19115,6,105,14046.6,41.4,26.85,60.55,43.7
2004-12-20,"HAV","2004-05","Havelock North",13,1134,20249,6,111,14909.1,28.2,23.9,60.35,42.4
2004-12-27,"HAV","2004-05","Havelock North",14,2686,22935,6,147,10669.5,49.8,38.3,69.3,53.8
2005-01-03,"HAV","2004-05","Havelock North",15,13840,36775,6,126,1327.5,16.2,41.45,75.6,57.8
2005-01-10,"HAV","2004-05","Havelock North",16,18732,55507,6,114,2560.5,0,31.8,71.15,52
2005-01-17,"HAV","2004-05","Havelock North",17,9886,65393,6,105,4024.8,0,29.4,72.9,53.45
